pokedex_number	species	form	form_suffix	section	type1	type2	availability	note	introduced_in
3	Venusaur			species	Grass	Poison	Yes		1.0.2
6	Charizard			species	Fire	Flying	Yes		1.0.2
9	Blastoise			species	Water		Yes		1.0.2
15	Beedrill			species	Bug	Poison	Yes		1.0.2
18	Pidgeot			species	Normal	Flying	Yes		1.0.2
24	Arbok			species	Poison		Yes		1.0.2
25	Pikachu			species	Electric		Yes	Regular form only	1.0.2
26	Raichu			species	Electric		Yes		1.0.2
26	Raichu	Alolan Form	-Alola	species	Electric	Psychic	Yes		1.0.2
36	Clefable			species	Fairy		Yes		1.0.2
38	Ninetales			species	Fire		Yes		1.0.2
38	Ninetales	Alolan Form	-Alola	species	Ice	Fairy	Yes		1.0.2
45	Vileplume			species	Grass	Poison	Yes		1.1.0
59	Arcanine			species	Fire		Yes		1.0.2
59	Arcanine	Hisuian Form	-Hisui	species	Fire	Rock	Yes		1.0.2
65	Alakazam			species	Psychic		Yes		1.0.2
68	Machamp			species	Fighting		Yes		1.0.2
71	Victreebel			species	Grass	Poison	Yes		1.0.2
80	Slowbro			species	Water	Psychic	Yes		1.0.2
80	Slowbro	Galarian Form	-Galar	species	Poison	Psychic	Yes		1.0.2
94	Gengar			species	Ghost	Poison	Yes		1.0.2
115	Kangaskhan			species	Normal		Yes		1.0.2
121	Starmie			species	Water	Psychic	Yes		1.0.2
127	Pinsir			species	Bug		Yes		1.0.2
128	Tauros			species	Normal		Yes		1.0.2
128	Tauros	Paldean Form (Combat Breed)	-Paldea Combat	species	Fighting		Yes		1.0.2
128	Tauros	Paldean Form (Blaze Breed)	-Paldea Blaze	species	Fighting	Fire	Yes		1.0.2
128	Tauros	Paldean Form (Aqua Breed)	-Paldea Aqua	species	Fighting	Water	Yes		1.0.2
130	Gyarados			species	Water	Flying	Yes		1.0.2
132	Ditto			species	Normal		Yes		1.0.2
134	Vaporeon			species	Water		Yes		1.0.2
135	Jolteon			species	Electric		Yes		1.0.2
136	Flareon			species	Fire		Yes		1.0.2
142	Aerodactyl			species	Rock	Flying	Yes		1.0.2
143	Snorlax			species	Normal		Yes		1.0.2
149	Dragonite			species	Dragon	Flying	Yes		1.0.2
154	Meganium			species	Grass		Yes		1.0.2
157	Typhlosion			species	Fire		Yes		1.0.2
157	Typhlosion	Hisuian Form	-Hisui	species	Fire	Ghost	Yes		1.0.2
160	Feraligatr			species	Water		Yes		1.0.2
168	Ariados			species	Bug	Poison	Yes		1.0.2
181	Ampharos			species	Electric		Yes		1.0.2
184	Azumarill			species	Water	Fairy	Yes		1.0.2
186	Politoed			species	Water		Yes		1.0.2
196	Espeon			species	Psychic		Yes		1.0.2
197	Umbreon			species	Dark		Yes		1.0.2
199	Slowking			species	Water	Psychic	Yes		1.0.2
199	Slowking	Galarian Form	-Galar	species	Poison	Psychic	Yes		1.0.2
205	Forretress			species	Bug	Steel	Yes		1.0.2
208	Steelix			species	Steel	Ground	Yes		1.0.2
211	Qwilfish			species	Water	Poison	Yes		1.1.0
212	Scizor			species	Bug	Steel	Yes		1.0.2
214	Heracross			species	Bug	Fighting	Yes		1.0.2
227	Skarmory			species	Steel	Flying	Yes		1.0.2
229	Houndoom			species	Dark	Fire	Yes		1.0.2
248	Tyranitar			species	Rock	Dark	Yes		1.0.2
254	Sceptile			species	Grass		Yes		1.1.0
257	Blaziken			species	Fire	Fighting	Yes		1.1.0
260	Swampert			species	Water	Ground	Yes		1.1.0
279	Pelipper			species	Water	Flying	Yes		1.0.2
282	Gardevoir			species	Psychic	Fairy	Yes		1.0.2
302	Sableye			species	Dark	Ghost	Yes		1.0.2
303	Mawile			species	Steel	Fairy	Yes		1.1.0
306	Aggron			species	Steel	Rock	Yes		1.0.2
308	Medicham			species	Fighting	Psychic	Yes		1.0.2
310	Manectric			species	Electric		Yes		1.0.2
319	Sharpedo			species	Water	Dark	Yes		1.0.2
323	Camerupt			species	Fire	Ground	Yes		1.0.2
324	Torkoal			species	Fire		Yes		1.0.2
334	Altaria			species	Dragon	Flying	Yes		1.0.2
350	Milotic			species	Water		Yes		1.0.2
351	Castform			species	Normal		Yes		1.0.2
354	Banette			species	Ghost		Yes		1.0.2
358	Chimecho			species	Psychic		Yes		1.0.2
359	Absol			species	Dark		Yes		1.0.2
362	Glalie			species	Ice		Yes		1.0.2
376	Metagross			species	Steel	Psychic	Yes		1.1.0
389	Torterra			species	Grass	Ground	Yes		1.0.2
392	Infernape			species	Fire	Fighting	Yes		1.0.2
395	Empoleon			species	Water	Steel	Yes		1.0.2
398	Staraptor			species	Normal	Flying	Yes		1.1.0
405	Luxray			species	Electric		Yes		1.0.2
407	Roserade			species	Grass	Poison	Yes		1.0.2
409	Rampardos			species	Rock		Yes		1.0.2
411	Bastiodon			species	Rock	Steel	Yes		1.0.2
428	Lopunny			species	Normal		Yes		1.0.2
442	Spiritomb			species	Ghost	Dark	Yes		1.0.2
445	Garchomp			species	Dragon	Ground	Yes		1.0.2
448	Lucario			species	Fighting	Steel	Yes		1.0.2
450	Hippowdon			species	Ground		Yes		1.0.2
454	Toxicroak			species	Poison	Fighting	Yes		1.0.2
460	Abomasnow			species	Grass	Ice	Yes		1.0.2
461	Weavile			species	Dark	Ice	Yes		1.0.2
464	Rhyperior			species	Ground	Rock	Yes		1.0.2
470	Leafeon			species	Grass		Yes		1.0.2
471	Glaceon			species	Ice		Yes		1.0.2
